layer,head,fp32_margin,lock_survival
0,0,1.71,1.0
0,1,0.78,1.0
0,2,0.44,1.0
0,3,0.28,1.0
0,4,0.15,1.0
0,5,0.58,1.0
0,6,0.14,1.0
0,7,0.02,1.0
0,8,0.58,1.0
0,9,0.28,1.0
0,10,0.28,1.0
0,11,6.05,1.0
1,0,0.66,0.98
1,1,0.83,1.0
1,2,0.52,1.0
1,3,0.13,0.68
1,4,1.37,1.0
1,5,0.39,0.84
1,6,0.86,1.0
1,7,1.23,1.0
1,8,0.12,0.8
1,9,0.32,0.78
1,10,2.7,1.0
1,11,0.46,1.0
2,0,0.94,1.0
2,1,0.61,0.94
2,2,0.94,0.94
2,3,2.46,1.0
2,4,0.58,1.0
2,5,1.87,1.0
2,6,1.03,0.96
2,7,0.88,1.0
2,8,0.12,0.94
2,9,1.32,1.0
2,10,1.92,1.0
2,11,0.73,0.8
3,0,0.7,1.0
3,1,0.27,0.72
3,2,1.93,1.0
3,3,4.9,1.0
3,4,0.14,0.66
3,5,0.82,1.0
3,6,0.44,0.82
3,7,1.1,1.0
3,8,0.35,0.96
3,9,1.02,0.82
3,10,0.83,1.0
3,11,0.61,1.0
4,0,1.59,0.84
4,1,3.71,1.0
4,2,2.2,1.0
4,3,0.16,0.7
4,4,0.46,0.72
4,5,0.98,0.88
4,6,6.06,1.0
4,7,0.66,0.98
4,8,3.28,1.0
4,9,0.58,1.0
4,10,6.9,1.0
4,11,3.81,1.0
5,0,5.04,1.0
5,1,0.87,1.0
5,2,4.73,1.0
5,3,0.82,0.8
5,4,2.62,1.0
5,5,1.01,0.98
5,6,11.27,1.0
5,7,5.64,1.0
5,8,1.17,0.92
5,9,3.75,1.0
5,10,5.22,1.0
5,11,0.63,0.9
6,0,0.41,0.7
6,1,4.51,1.0
6,2,2.89,1.0
6,3,0.86,0.8
6,4,1.71,1.0
6,5,0.56,0.82
6,6,1.37,1.0
6,7,2.0,1.0
6,8,0.69,0.96
6,9,5.99,1.0
6,10,3.22,1.0
6,11,1.47,0.98
7,0,1.84,0.56
7,1,1.7,0.9
7,2,1.09,0.38
7,3,1.58,0.34
7,4,1.16,0.64
7,5,1.04,0.14
7,6,3.41,0.56
7,7,0.34,0.5
7,8,0.56,0.76
7,9,2.49,0.88
7,10,47.66,1.0
7,11,1.58,0.84
8,0,6.92,1.0
8,1,4.21,0.72
8,2,6.2,0.96
8,3,5.47,0.98
8,4,4.38,0.52
8,5,2.62,0.58
8,6,3.89,0.6
8,7,22.4,1.0
8,8,4.48,0.74
8,9,2.5,0.34
8,10,1.24,0.38
8,11,3.65,0.64
9,0,5.67,0.96
9,1,4.95,0.8
9,2,16.66,1.0
9,3,2.03,0.52
9,4,10.73,0.7
9,5,8.91,0.6
9,6,7.01,0.74
9,7,3.94,0.58
9,8,6.26,0.7
9,9,8.64,0.58
9,10,7.68,1.0
9,11,11.6,1.0
10,0,22.25,0.98
10,1,23.05,0.42
10,2,5.11,0.44
10,3,6.68,0.92
10,4,12.28,0.8
10,5,1.89,0.16
10,6,33.87,1.0
10,7,11.58,0.72
10,8,14.52,0.78
10,9,0.93,0.36
10,10,12.86,0.82
10,11,9.13,0.64
11,0,10.61,0.84
11,1,14.44,0.38
11,2,22.41,0.98
11,3,33.95,1.0
11,4,21.3,0.86
11,5,47.97,0.92
11,6,7.02,0.64
11,7,33.13,0.7
11,8,17.72,0.78
11,9,14.03,0.66
11,10,43.98,0.88
11,11,7.39,0.48
