eff_bits,weight_err,clean_ld,8.9,3.2,10.7,3.0,8.10,6.5
4.0,0.1101,1.557,1.02,0.85,0.32,1.14,-0.07,1.0
4.13,0.0982,1.962,0.58,0.75,1.24,0.81,0.37,1.07
4.27,0.0887,1.729,0.17,0.83,1.11,0.61,1.19,0.96
4.4,0.0805,1.038,0.23,0.49,1.45,0.56,-0.73,1.05
4.53,0.0731,1.908,0.51,0.6,1.66,0.17,0.07,1.0
4.67,0.0667,2.84,0.68,0.84,0.7,0.46,1.55,1.02
4.8,0.0614,2.041,1.11,1.01,0.56,0.83,-0.15,0.96
4.93,0.0581,0.999,1.0,0.6,0.54,0.59,-1.84,0.85
5.07,0.0502,1.703,1.07,0.73,0.79,0.92,-0.33,1.16
5.2,0.0488,1.504,0.97,0.71,0.76,0.7,-0.02,1.02
5.33,0.043,2.465,1.12,1.03,1.16,1.34,0.75,1.07
5.47,0.0389,1.141,1.04,0.54,1.02,0.51,-3.39,1.11
5.6,0.036,2.389,1.09,0.89,0.95,0.87,-0.19,0.89
5.73,0.0311,2.938,1.09,0.94,1.11,0.77,0.66,1.22
5.87,0.0295,2.135,1.14,0.72,0.99,0.67,-0.55,0.94
6.0,0.0264,2.398,0.94,0.92,0.92,0.91,0.57,1.05
