eff_bits,seed,clean_ld,8.9,3.2,10.7,3.0,6.5
4.0,0,1.557,1.02,0.85,0.32,1.14,1.0
4.0,1,1.308,1.12,0.78,0.24,1.26,0.85
4.0,2,1.771,1.12,0.76,0.42,1.46,1.09
4.13,0,2.377,0.78,0.79,1.33,0.86,1.12
4.13,1,1.843,0.87,0.68,1.44,0.85,1.08
4.13,2,2.303,0.93,0.73,1.28,1.01,1.25
4.27,0,1.733,0.2,0.82,1.09,0.63,1.05
4.27,1,1.406,0.18,0.66,0.95,0.78,0.81
4.27,2,1.817,0.22,0.68,1.16,0.72,1.15
4.4,0,1.038,0.23,0.49,1.45,0.56,1.05
4.4,1,0.557,0.23,0.45,1.34,0.56,0.92
4.4,2,1.143,0.33,0.52,1.71,0.7,1.13
4.53,0,1.896,0.56,0.64,1.53,0.3,1.03
4.53,1,1.4,0.56,0.67,1.77,0.27,0.8
4.53,2,2.014,0.69,0.81,1.58,0.71,1.04
